HGNC ID	NCBI gene ID
HGNC:5439	3459
HGNC:5464	3479
HGNC:5465	3480
HGNC:5466	3481
HGNC:5477	3492
HGNC:5715	50802
HGNC:583	324
HGNC:5853	3535
HGNC:591	330
HGNC:592	331
HGNC:5960	3551
HGNC:5962	3586
HGNC:6001	3558
HGNC:6006	50615
HGNC:6019	3570
HGNC:6021	3572
HGNC:6024	3575
HGNC:6065	3623
HGNC:6066	3624
HGNC:6074	3631
HGNC:6075	8821
HGNC:6091	3643
HGNC:6117	3660
HGNC:6119	3662
HGNC:6121	3664
HGNC:6125	3667
HGNC:6126	8660
HGNC:6128	8471
HGNC:6150	3685
HGNC:6171	3702
HGNC:6181	3709
HGNC:6190	3716
HGNC:6192	3717
HGNC:6193	3718
HGNC:6204	3725
HGNC:6215	3735
HGNC:6266	3762
HGNC:6307	3791
HGNC:6308	3792
HGNC:6324	3799
HGNC:6342	3815
HGNC:6348	9314
HGNC:6349	688
HGNC:6356	51088
HGNC:6363	3817
HGNC:6387	3831
HGNC:6407	3845
HGNC:6408	9935
HGNC:644	367
HGNC:646	369
HGNC:6467	3895
HGNC:6473	3899
HGNC:6499	3916
HGNC:6513	3927
HGNC:6514	9113
HGNC:6515	26524
HGNC:6524	3932
HGNC:6528	3936
HGNC:6551	51176
HGNC:6555	23484
HGNC:6586	10186
HGNC:6597	3977
HGNC:662	10139
HGNC:6636	4000
HGNC:6641	4004
HGNC:6642	4005
HGNC:667	387
HGNC:6679	4026
HGNC:6693	53353
HGNC:6721	4058
HGNC:6734	4066
HGNC:6735	4067
HGNC:6742	8216
HGNC:675	394
HGNC:6768	4087
HGNC:6769	4088
HGNC:6770	4089
HGNC:6776	4094
HGNC:6819	10892
HGNC:6840	5604
HGNC:6842	5605
HGNC:6844	6416
HGNC:6848	4214
HGNC:6852	9175
HGNC:6853	9020
HGNC:6856	4216
HGNC:686	399
HGNC:6871	5594
HGNC:6877	5595
HGNC:6890	22919
HGNC:6913	4149
HGNC:6943	4170
HGNC:6954	79648
HGNC:6973	4193
HGNC:6974	4194
HGNC:6995	100271849
HGNC:700	405
HGNC:7010	4221
HGNC:7027	10461
HGNC:7029	4233
HGNC:7059	4255
HGNC:7067	4261
HGNC:7105	4286
HGNC:7110	8569
HGNC:7112	23608
HGNC:7125	4291
HGNC:7127	4292
HGNC:7132	4297
HGNC:7133	8085
HGNC:7134	4298
HGNC:7135	4299
HGNC:7136	4300
HGNC:7137	4301
HGNC:7138	4302
HGNC:7139	4303
HGNC:7180	4330
HGNC:7217	4352
HGNC:7230	4361
HGNC:7323	10801
HGNC:7325	4436
HGNC:7326	4437
HGNC:7329	2956
HGNC:7372	4477
HGNC:7373	4478
HGNC:7380	4485
HGNC:7381	4486
HGNC:7413	4507
HGNC:7423	4515
HGNC:7508	4582
HGNC:7514	4585
HGNC:7525	4593
HGNC:7527	4595
HGNC:7545	4602
HGNC:7553	4609
HGNC:7555	4610
HGNC:7559	4613
HGNC:7562	4615
HGNC:7569	4629
HGNC:7579	4627
HGNC:76	25
HGNC:7600	4542
HGNC:7602	4644
HGNC:7611	4654
HGNC:7627	4665
HGNC:7629	4666
HGNC:7648	26960
HGNC:7652	4683
HGNC:7668	8648
HGNC:7669	10499
HGNC:7670	8202
HGNC:7671	8031
HGNC:7672	9611
HGNC:7673	9612
HGNC:7679	10397
HGNC:77	27
HGNC:7729	4735
HGNC:7765	4763
HGNC:777	463
HGNC:7773	4771
HGNC:7775	4772
HGNC:7776	4773
HGNC:7782	4780
HGNC:7784	4774
HGNC:7785	4781
HGNC:7788	4784
HGNC:7795	4791
HGNC:7797	4792
HGNC:7799	4794
HGNC:783	466
HGNC:7838	4824
HGNC:7871	4841
HGNC:7879	4849
HGNC:7881	4851
HGNC:7882	4853
HGNC:7883	4854
HGNC:7884	4855
HGNC:7910	4869
HGNC:794	471
HGNC:795	472
HGNC:7982	8013
HGNC:7989	4893
HGNC:799	476
HGNC:7997	3084
HGNC:8022	22978
HGNC:8028	4913
HGNC:8029	9423
HGNC:8031	4914
HGNC:8032	4915
HGNC:8033	4916
HGNC:804	481
HGNC:8059	4926
HGNC:8061	9253
HGNC:8064	8021
HGNC:8068	4928
HGNC:8134	4958
HGNC:816	492
HGNC:8554	26986
HGNC:8575	5049
HGNC:8590	5058
HGNC:8592	5063
HGNC:8607	5071
HGNC:8617	5077
HGNC:8619	5079
HGNC:8621	5081
HGNC:8622	7849
HGNC:8632	5087
HGNC:8642	85414
HGNC:8647	5093
HGNC:8727	5108
HGNC:8760	5133
